,gst (mol/m2s),tleaf(degC),par(micromol/m2),gblc(mol/m2s),An(micromol/m2s)
120,0.10005,13.047,0.0,0.75828,-1.4073
121,0.10005,12.116,0.0,0.62189,-1.351
122,0.10005,11.783,0.0,0.59084,-1.3315
123,0.10005,11.869,0.0,0.61636,-1.3365
124,0.10005,12.012,0.0,0.64882,-1.3449
125,0.12404,14.154,212.52,0.77832,5.0725
126,0.17494,17.196,656.88,0.93786,13.412
127,0.28681,20.537,1120.6,0.89491,29.296
128,0.31979,23.352,1552.0,0.93054,33.66
129,0.34446,25.777,1912.7,0.97367,36.87
130,0.36072,27.73,2170.3,0.98242,38.956
131,0.37185,29.156,2279.8,0.94694,40.375
132,0.37919,30.217,2292.6,0.89491,41.306
133,0.38103,30.748,2202.5,0.83353,41.539
134,0.37877,30.611,1977.1,0.81274,41.252
135,0.37472,29.878,1629.3,0.8598,40.74
136,0.35258,28.802,1210.7,0.89873,37.916
137,0.23676,28.073,747.04,0.9082,22.436
138,0.13495,25.989,283.36,0.73303,6.986
139,0.10005,22.187,19.32,0.78489,-1.4693
140,0.10005,20.6,0.0,0.92869,-1.9595
141,0.10005,18.994,0.0,0.925,-1.8263
142,0.10005,17.537,0.0,0.81484,-1.7133
143,0.10005,16.223,0.0,0.69468,-1.6174
144,0.10005,15.155,0.0,0.62189,-1.5435
145,0.10005,14.242,0.0,0.57021,-1.4829
146,0.10005,13.576,0.0,0.55191,-1.4403
147,0.10005,13.26,0.0,0.56418,-1.4205
148,0.10005,13.241,0.0,0.59084,-1.4193
149,0.125,15.487,218.96,0.58794,5.2462
150,0.2159,19.981,669.76,0.86378,19.474
151,0.32119,23.476,1133.4,0.90253,33.848
152,0.34757,26.387,1564.9,0.91008,37.272
153,0.36682,28.971,1925.6,0.85581,39.736
154,0.37617,30.771,2183.2,0.74461,40.923
155,0.37948,31.771,2299.1,0.67721,41.342
156,0.3826,32.317,2299.1,0.66188,41.735
157,0.38948,32.476,2215.4,0.72835,42.603
158,0.39379,32.209,1990.0,0.82941,43.146
159,0.39353,31.535,1642.2,0.95235,43.114
160,0.35962,30.649,1230.0,1.0579,38.816
161,0.24041,29.97,759.92,1.1192,22.947
162,0.13566,27.892,289.8,1.0595,7.1066
163,0.10005,23.808,19.32,1.0514,-1.6169
164,0.10005,21.506,0.0,1.0835,-2.0388
165,0.10005,19.922,0.0,1.0031,-1.9021
166,0.10005,18.399,0.0,0.87558,-1.7793
167,0.10005,16.889,0.0,0.79572,-1.6653
168,0.10005,15.704,0.0,0.82941,-1.5811
169,0.10005,14.568,0.0,0.84576,-1.5043
170,0.10005,13.759,0.0,0.83147,-1.4519
171,0.10005,13.267,0.0,0.78271,-1.4209
172,0.10005,12.747,0.0,0.66703,-1.3889
173,0.12618,14.969,225.4,0.74691,5.4553
174,0.19654,18.059,676.2,0.83967,16.659
175,0.29918,21.59,1139.9,0.74919,30.945
176,0.33867,25.823,1577.8,0.77832,36.122
177,0.36478,28.797,1932.0,0.8417,39.475
178,0.38458,30.616,2189.6,0.93969,41.985
179,0.39426,31.673,2305.5,1.0819,43.205
180,0.39635,32.164,2305.5,1.223,43.468
181,0.39535,31.921,2208.9,1.3289,43.343
182,0.39053,30.946,1983.5,1.3943,42.736
183,0.38069,29.451,1629.3,1.4113,41.497
184,0.35303,27.717,1217.2,1.3844,37.971
185,0.23615,26.338,747.04,1.3302,22.35
186,0.13534,24.469,283.36,1.2032,7.0506
187,0.10005,20.793,19.32,0.98068,-1.3507
188,0.10005,18.884,0.0,1.0449,-1.8176
189,0.10005,17.124,0.0,1.0367,-1.6826
190,0.10005,15.561,0.0,0.99454,-1.5712
191,0.10005,14.225,0.0,0.94513,-1.4818
192,0.10005,13.076,0.0,0.89108,-1.4091
193,0.10005,12.223,0.0,0.85181,-1.3574
194,0.10005,11.541,0.0,0.80214,-1.3174
195,0.10005,10.891,0.0,0.72835,-1.2804
196,0.10005,10.217,0.0,0.63009,-1.2431
197,0.11693,11.799,231.84,0.77832,3.7584
198,0.13972,14.994,682.64,0.69959,7.792
199,0.24791,19.5,1159.2,0.59373,23.991
200,0.30853,22.999,1590.7,0.56113,32.183
201,0.32703,26.143,1951.3,0.54233,34.611
202,0.34261,28.496,2208.9,0.54233,36.631
203,0.35173,29.832,2324.8,0.54233,37.806
204,0.37147,30.31,2324.8,0.73069,40.326
205,0.38375,30.588,2234.7,0.925,41.88
206,0.38632,30.317,2009.3,1.074,42.205
207,0.37972,29.322,1648.6,1.186,41.374
208,0.35781,27.572,1236.5,1.2588,38.583
209,0.24038,25.608,766.36,1.2937,22.943
210,0.13813,22.816,296.24,1.2737,7.5288
211,0.10005,19.153,19.32,1.1946,-1.2207
212,0.10005,16.68,0.0,1.1568,-1.6501
213,0.10005,14.927,0.0,1.1054,-1.5282
214,0.10005,13.442,0.0,1.0676,-1.4319
215,0.10005,12.23,0.0,1.0234,-1.3578
216,0.10005,11.376,0.0,0.96307,-1.3079
217,0.10005,10.74,0.0,0.88143,-1.272
218,0.10005,10.14,0.0,0.78707,-1.239
219,0.10005,9.6132,0.0,0.72835,-1.2107
