,gst (mol/m2s),tleaf(degC),par(micromol/m2),gblc(mol/m2s),An(micromol/m2s)
6014,0.38158,29.568,1635.8,1.2669,41.606
6015,0.37401,28.605,1358.8,1.2285,40.647
6016,0.32023,27.653,1088.4,1.17,33.721
6017,0.22866,26.49,714.84,1.1192,21.295
6018,0.14282,24.895,322.0,1.0676,8.3099
6019,0.10005,23.301,45.08,0.97543,-0.72181
6020,0.10005,22.605,0.0,0.99797,-2.1395
6021,0.10005,22.232,0.0,1.0383,-2.1047
6022,0.10005,21.782,0.0,1.0432,-2.0637
6023,0.10005,21.368,0.0,1.0547,-2.0266
6024,0.10005,21.025,0.0,1.0787,-1.9963
6025,0.10005,20.647,0.0,1.0945,-1.9635
6026,0.10005,20.299,0.0,1.0992,-1.9338
6027,0.10005,19.803,0.0,1.0787,-1.8922
6028,0.10005,19.285,0.0,1.0644,-1.8497
6029,0.10005,19.511,38.64,1.1115,-0.62868
6030,0.10005,20.643,51.52,1.1759,-0.29784
6031,0.10005,22.535,57.96,1.2103,-0.23521
6032,0.10005,24.556,64.4,1.223,-0.1932
6033,0.10097,25.939,83.72,1.2438,0.3274
6034,0.12602,26.97,238.28,1.299,5.4271
6035,0.34392,28.452,1178.5,1.3632,36.801
6036,0.32875,28.042,1120.6,1.362,34.832
6037,0.34805,27.708,1197.8,1.3289,37.334
6038,0.31801,27.003,1081.9,1.2764,33.429
6039,0.33553,26.724,1152.8,1.2089,35.715
6040,0.27751,26.021,920.92,1.1177,28.042
6041,0.20321,25.054,605.36,0.99797,17.636
6042,0.12698,23.685,238.28,0.80001,5.6011
6043,0.10005,22.148,38.64,0.61913,-0.8349
6044,0.10005,21.748,0.0,0.66703,-2.0606
6045,0.10005,21.578,0.0,0.66703,-2.0453
6046,0.10005,21.439,0.0,0.64086,-2.0328
6047,0.10005,21.117,0.0,0.5672,-2.0044
6048,0.10005,20.895,0.0,0.54233,-1.985
6049,0.10005,20.656,0.0,0.54233,-1.9643
6050,0.10005,20.662,0.0,0.73536,-1.9648
6051,0.10005,20.277,0.0,0.69221,-1.9319
6052,0.10005,19.971,0.0,0.70446,-1.9062
6053,0.10526,20.353,103.04,0.90063,1.3834
6054,0.14216,20.676,315.56,1.0082,8.2019
6055,0.20798,21.509,631.12,1.066,18.331
6056,0.26741,22.669,888.72,1.1085,26.672
6057,0.33408,24.608,1288.0,1.1598,35.526
6058,0.34993,26.07,1436.1,1.1509,37.573
6059,0.36274,27.618,1758.1,1.1023,39.217
6060,0.364,27.988,1584.2,1.0217,39.375
6061,0.36078,27.774,1461.9,0.97191,38.965
